cod,NOMBRE,DEPTO,MPIO,LATITUD,LONGITUD,FECHA_INST,FECHA_SUSP
11107010,DOMINGODO    [11107010],CHOCÓ,CARMEN DEL DARIÉN  ,7.1785,-77.0347222222,15/11/1966,
11110010,NORMAL STA TERESA ,ANTIOQUIA,FRONTINO,6.7633333333,-76.1336111111,15/01/1969,
11110020,ABRIAQUI [11110020],ANTIOQUIA,ABRIAQUÍ,6.6425,-76.075,15/12/1974,
11110030,FUEMIA [11110030],ANTIOQUIA,FRONTINO,6.8580555556,-76.2522222222,15/03/1977,
11110040,CAÑASGORDAS [11110040],ANTIOQUIA,CAÑASGORDAS,6.75,-76.0333333333,15/01/1966,15/12/1973
11110060,DABEIBA [11110060],ANTIOQUIA,DABEIBA,7,-76.2666666667,15/07/1944,15/05/1948
11110110,BOQUERON DE TOYO ,ANTIOQUIA,GIRALDO,6.6994444444,-75.9775,15/05/1983,10/05/2011
11115010,DABEIBA [11115010],ANTIOQUIA,DABEIBA,7,-76.2666666667,15/03/1972,15/11/1973
11115020,CAÑASGORDAS    [11115020],ANTIOQUIA,CAÑASGORDAS,6.7580277778,-76.0296666667,15/07/1973,
11115030,NUTIBARA [11115030],ANTIOQUIA,FRONTINO,6.8166666667,-76.25,15/07/1973,15/09/1981
11115040,MUSINGA    [11115040],ANTIOQUIA,FRONTINO,6.7779722222,-76.2033333333,15/08/1984,
11117010,ANIL EL   [11117010],ANTIOQUIA,URAMITA,6.8738888889,-76.1495833333,15/03/1972,
11117020,DABEIBA 1 [11117020],ANTIOQUIA,DABEIBA,7.0166666667,-76.2666666667,15/09/1972,15/02/1979
11117030,TASCON [11117030],ANTIOQUIA,DABEIBA,7.0833333333,-76.4166666667,15/10/1976,15/11/2004
11117040,MUTATA [11117040],ANTIOQUIA,MUTATÁ,7.2294444444,-76.4380555556,15/10/1976,
11117050,DABEIBA 2   [11117050],ANTIOQUIA,DABEIBA,7.0043888889,-76.2663888889,15/09/1976,
11120010,SALAQUI [11120010],CHOCÓ,RIOSUCIO,7.4333333333,-77.2833333333,15/11/1974,15/11/1983
11120040,RIOSUCIO [11120040],CHOCÓ,RIOSUCIO,7.4394444444,-77.1152777778,15/09/1960,
11125010,TERESITA LA [11125010],CHOCÓ,RIOSUCIO,7,-77.5,15/03/1972,15/02/2002
11127010,NUEVA LA [11127010],CHOCÓ,RIOSUCIO,7.3166666667,-77.1666666667,15/03/1977,15/09/1989
11130010,UNGUIA [11130010],CHOCÓ,UNGUÍA,8.0367222222,-77.0878611111,15/11/1974,
11130020,HONDA LA [11130020],CHOCÓ,RIOSUCIO,7.5766666667,-77.1255555556,15/04/1972,15/04/1972
11130030,SAUTATA [11130030],CHOCÓ,RIOSUCIO,7.8666666667,-77.1666666667,15/01/1967,15/10/1971
11135010,SAUTATA [11135010],CHOCÓ,RIOSUCIO,7.85,-77.1166666667,15/04/1972,31/03/2008
11135020,BALSA LA [11135020],CHOCÓ,RIOSUCIO,7.5166666667,-77.2,15/05/1988,15/10/1996
11135030,UNGUIA AUTOM   ,CHOCÓ,UNGUÍA,8.0367222222,-77.0878611111,24/09/2005,
11140010,MARIRRIO [11140010],ANTIOQUIA,TURBO,8,-76.95,15/07/1987,15/07/1989
11145010,BAJIRA [11145010],CHOCÓ,RIOSUCIO,7.3833333333,-76.6666666667,15/11/1985,15/02/1997
11147010,RIOSUCIO    [11147010],CHOCÓ,RIOSUCIO,7.4428333333,-77.12125,15/12/1965,
11147020,BAJIRA    [11147020],CHOCÓ,RIOSUCIO,7.3684444444,-76.7272777778,15/09/1990,
11147030,PRIMAVERA [11147030],ANTIOQUIA,MUTATÁ,7.35,-76.6333333333,15/03/1991,15/02/1997
11150010,TITUMATE    [11150010],CHOCÓ,UNGUÍA,8.3080555556,-77.0758333333,15/11/1974,
11150020,TANELA    [11150020],CHOCÓ,UNGUÍA,8.1629166667,-77.0404166667,15/11/1974,
11150030,ACANDI [11150030],CHOCÓ,ACANDÍ,8.5308333333,-77.2769444444,15/04/1980,
11155010,PLAYA LA [11155010],CHOCÓ,ACANDÍ,8.5333333333,-77.2833333333,15/08/1971,15/01/1977
11155020,GLORIA LA [11155020],CHOCÓ,UNGUÍA,8.2666666667,-77.0666666667,15/04/1980,15/12/1986
11155030,CAPURGANA AUTOMATICA ,CHOCÓ,ACANDÍ,8.61625,-77.3281944444,16/04/2007,
11159010,CAPURGANA AUTOM   ,CHOCÓ,ACANDÍ,8.61625,-77.3281944444,15/08/1995,
12010010,TORMENTO EL [12010010],ANTIOQUIA,TURBO,7.7663888889,-76.8552777778,15/01/1972,
12010020,PALMERA LA [12010020],ANTIOQUIA,CHIGORODÓ,7.5383333333,-76.6055555556,15/03/1972,15/02/1991
12010030,BARRANQUILLITA    ,ANTIOQUIA,CHIGORODÓ,7.5711111111,-76.6975,15/12/1974,
12010040,TULENAPA [12010040],ANTIOQUIA,CHIGORODÓ,7.6666666667,-76.6666666667,15/08/1974,15/08/1982
12010050,TOSCANA LA   [12010050],ANTIOQUIA,CAREPA,7.8080555556,-76.7030555556,15/07/1977,
12010060,LORENA LA   [12010060],ANTIOQUIA,APARTADÓ,7.8630555556,-76.6891666667,15/07/1976,
12010070,CASCO EL   [12010070],ANTIOQUIA,APARTADÓ,7.8844444444,-76.6477777778,15/07/1977,
12010080,STA ISABEL [12010080],ANTIOQUIA,CAREPA,7.75,-76.6666666667,15/07/1977,15/04/1994
12010090,TRIGANA    [12010090],ANTIOQUIA,CAREPA,7.7476666667,-76.7118888889,15/06/1977,
12010100,EUPOL    [12010100],ANTIOQUIA,TURBO,7.9455277778,-76.6173888889,15/07/1977,
12010110,PRADO MAR   [12010110],ANTIOQUIA,TURBO,7.9874166667,-76.6385277778,15/07/1977,
12010120,STA MARTHA   [12010120],ANTIOQUIA,TURBO,7.9238333333,-76.6490833333,15/07/1977,
12010130,CHIGORODO [12010130],ANTIOQUIA,CHIGORODÓ,7.7,-76.7,15/01/1966,15/03/1972
12010140,RIOGRANDE [12010140],ANTIOQUIA,TURBO,7.9333333333,-76.6333333333,15/01/1972,15/07/1977
12010150,VILLA ARTEAGA ,ANTIOQUIA,MUTATÁ,7.45,-76.6166666667,15/01/1946,15/03/1972
12010160,SAN JOSE APARTADO ,ANTIOQUIA,APARTADÓ,7.8666666667,-76.6,15/08/1984,15/12/1997
12010170,NUEVO ORIENTE   ,ANTIOQUIA,TURBO,7.4603333333,-76.6895555556,15/03/1991,
12010180,CHOROMANDO HDA ,ANTIOQUIA,TURBO,7.95,-76.5833333333,15/08/1984,15/10/1997
12015010,VILLARTEAGA [12015010],ANTIOQUIA,MUTATÁ,7.3346666667,-76.4860277778,15/03/1972,
12015020,UNIBAN    [12015020],ANTIOQUIA,APARTADÓ,7.8259166667,-76.6513333333,15/08/1977,
12015030,IDEMA-MONTECRISTO ,ANTIOQUIA,CHIGORODÓ,7.65,-76.6833333333,15/03/1972,15/08/1982
12015040,NEGRA LA 1 [12015040],ANTIOQUIA,TURBO,7.95,-76.6833333333,15/07/1977,15/12/1982
12015050,RIOGRANDE [12015050],ANTIOQUIA,TURBO,7.9166666667,-76.6333333333,15/09/1982,15/12/1992
12015060,TULENAPA    [12015060],ANTIOQUIA,CAREPA,7.7739444444,-76.66575,15/08/1982,06/01/2016
12015070,APTO LOS CEDROS  ,ANTIOQUIA,CAREPA,7.8163888889,-76.7178888889,15/05/1983,
12015080,CERRAZON LA [12015080],ANTIOQUIA,CHIGORODÓ,7.7166666667,-76.6166666667,15/08/1986,15/02/2002
12015090,PALMERA LA [12015090],ANTIOQUIA,CHIGORODÓ,7.5383333333,-76.6055555556,15/03/1991,17/02/2010
12015100,PISTA INDIRA AUTOM  ,ANTIOQUIA,TURBO,7.94075,-76.6961666667,20/09/2005,
12015110,CHIGORODO AUTOM   ,ANTIOQUIA,CHIGORODÓ,7.6711388889,-76.6940555556,18/09/2005,
12017010,CHIGORODO    [12017010],ANTIOQUIA,CHIGORODÓ,7.6730555556,-76.6839166667,15/10/1976,
12017020,BARRANQUILLITA    ,ANTIOQUIA,CHIGORODÓ,7.5715833333,-76.7105555556,15/03/1977,
12017030,VICTORIA LA [12017030],ANTIOQUIA,APARTADÓ,7.8166666667,-76.6833333333,15/03/1977,15/05/1996
12017040,RIOGRANDE [12017040],ANTIOQUIA,TURBO,7.9278333333,-76.6211111111,15/07/1977,
12017050,PTE CARRETERA ,ANTIOQUIA,APARTADÓ,7.8238888889,-76.6480555556,15/03/1977,10/05/2011
12017060,APARTADO [12017060],ANTIOQUIA,APARTADÓ,7.87575,-76.6225833333,15/03/1977,10/03/2013
12017070,CERRAZON LA   [12017070],ANTIOQUIA,CHIGORODÓ,7.7208611111,-76.5763611111,15/09/1986,
12017080,CAREPA [12017080],ANTIOQUIA,CAREPA,7.7633611111,-76.65825,15/03/1977,01/10/2011
12017100,VILLARTEAGA    [12017100],ANTIOQUIA,MUTATÁ,7.4132222222,-76.5996111111,15/09/1990,
12020010,PUEBLO BELLO   [12020010],ANTIOQUIA,TURBO,8.2041666667,-76.5247222222,15/04/1972,
